Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764624912,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764624913,20,,Aggregated,0.000000,0.000000,9,9,9,9,9,12,12,12,12,12,12,20,5,9,8.717708301264793,7.078415947034955,12.056458974257112,124.75
1764624914,40,,Aggregated,0.000000,0.000000,9,9,13,15,17,18,19,20,20,20,20,60,12,9,9.39181656188642,2.309749834239483,20.457624923437834,131.6
1764624915,60,,Aggregated,20.000000,5.000000,9,11,12,12,15,17,18,19,20,20,20,108,23,8,8.564165888216209,1.9558339845389128,20.457624923437834,129.82407407407408
1764624916,80,,Aggregated,27.000000,6.000000,8,9,11,12,14,16,17,19,20,20,20,176,40,8,7.967205958927727,1.7127078026533127,20.457624923437834,127.86363636363636
1764624917,100,,Aggregated,33.666667,7.333333,7,10,11,12,14,15,17,18,20,20,20,245,58,7,7.827257670043987,1.6797920688986778,20.457624923437834,126.56734693877551
1764624918,120,,Aggregated,41.250000,9.250000,7,9,11,12,16,19,22,22,39,39,39,339,82,7,8.237295996969165,1.6797920688986778,38.742374861612916,125.8613569321534
1764624919,140,,Aggregated,46.200000,10.600000,6,10,11,13,18,22,32,34,40,40,40,441,105,6,8.839737253301607,1.6797920688986778,40.1550829410553,126.38095238095238
1764624920,160,,Aggregated,53.000000,12.666667,6,9,11,13,19,22,32,34,40,40,40,550,131,6,8.749275309965014,1.2896668631583452,40.1550829410553,126.36909090909091
1764624921,180,,Aggregated,59.857143,14.142857,6,9,12,13,20,26,33,34,48,48,48,685,167,6,9.15906757870893,1.2896668631583452,47.65887511894107,125.6
1764624922,200,,Aggregated,65.125000,15.625000,6,9,12,14,19,24,32,34,48,48,48,834,205,6,8.920180211536032,1.2896668631583452,47.65887511894107,125.32494004796163
1764624923,200,,Aggregated,72.333333,17.666667,6,9,11,13,18,23,31,34,48,48,48,964,239,6,8.597349591023788,1.2896668631583452,47.65887511894107,125.03423236514523
1764624924,200,,Aggregated,78.900000,18.900000,6,8,11,12,17,22,31,33,40,48,48,1101,274,6,8.3394516039501,1.2825839221477509,47.65887511894107,124.905540417802
1764624925,200,,Aggregated,89.700000,22.000000,6,8,11,12,17,22,30,33,40,48,48,1230,315,6,8.35637257063413,1.2825839221477509,47.65887511894107,123.91463414634147
1764624926,200,,Aggregated,100.900000,25.600000,6,8,10,12,17,22,30,33,40,48,48,1363,341,6,8.107765811930738,1.2825839221477509,47.65887511894107,124.72487160674982
1764624927,200,,Aggregated,108.200000,28.000000,6,8,10,11,17,22,28,32,40,48,48,1502,382,6,7.898701132726564,1.2825839221477509,47.65887511894107,124.15712383488682
